user_id,retweet_user_id,screen_name,retweet_screen_name,retweet_created_at,text,time
x286320383,x1189057894169432064,Gottadance64,Techrose11,2020/1/13 5:11,"Amazing Work food for animals in burnt forests in New South Wales, Australia<U+0001F64F><U+0001F495><U+0001F917>Cooler Temperatures Bring Some Australian Fires Under Control
#AustralianBushfire #AustraliaBushfires #PrayForAustralia #Australia #MotivaciÃ³n #MotivationMonday 
https://t.co/0S10hLDevc",2020/1/13 5:11
x1152811032722604032,x1189057894169432064,RE9XfamiiqejobU,Techrose11,2020/1/13 5:11,"Amazing Work food for animals in burnt forests in New South Wales, Australia<U+0001F64F><U+0001F495><U+0001F917>Cooler Temperatures Bring Some Australian Fires Under Control
#AustralianBushfire #AustraliaBushfires #PrayForAustralia #Australia #MotivaciÃ³n #MotivationMonday 
https://t.co/0S10hLDevc",2020/1/13 5:11
x1202020241800388609,x1189057894169432064,Cheoko3,Techrose11,2020/1/13 5:11,"Amazing Work food for animals in burnt forests in New South Wales, Australia<U+0001F64F><U+0001F495><U+0001F917>Cooler Temperatures Bring Some Australian Fires Under Control
#AustralianBushfire #AustraliaBushfires #PrayForAustralia #Australia #MotivaciÃ³n #MotivationMonday 
https://t.co/0S10hLDevc",2020/1/13 5:11
x314591392,x1050392630922629121,JohnfromBton,ScienceNotDogma,2020/1/13 5:52,"This is THE definitive thread on Australia's bushfires and climate change.<U+0001F44D>
#AustraliaFires #AustralianFires #AustraliaBurning #AUSTRALIANBUSHFIRES #AustralianBushfire #arsonists #ClimateCrisis #ClimateChangeIsReal #ClimateChange #wildfires #KoalasNotCoal https://t.co/hnBbbWRety https://t.co/sNTX96ubPb",2020/1/13 5:52
x952636350158819328,x1050392630922629121,redmayne_robert,ScienceNotDogma,2020/1/13 5:52,"This is THE definitive thread on Australia's bushfires and climate change.<U+0001F44D>
#AustraliaFires #AustralianFires #AustraliaBurning #AUSTRALIANBUSHFIRES #AustralianBushfire #arsonists #ClimateCrisis #ClimateChangeIsReal #ClimateChange #wildfires #KoalasNotCoal https://t.co/hnBbbWRety https://t.co/sNTX96ubPb",2020/1/13 5:52
x2875232005,x566700592,Sydney_Guide,schydlowski1,2020/1/13 6:00,#Australie #Sydney En hommage aux pompiers qui combattent sans relÃ¢chent les feux l @SydOperaHouse a illuminÃ© sa faÃ§ade<U+0001F64F><U+0001F428><U+0001F998><U+0001F33F> #AustralianBushfire #bushfires https://t.co/SpHNDMcZac,2020/1/13 6:00
x1173515592437063680,x566700592,RosuIsabelle,schydlowski1,2020/1/13 6:00,#Australie #Sydney En hommage aux pompiers qui combattent sans relÃ¢chent les feux l @SydOperaHouse a illuminÃ© sa faÃ§ade<U+0001F64F><U+0001F428><U+0001F998><U+0001F33F> #AustralianBushfire #bushfires https://t.co/SpHNDMcZac,2020/1/13 6:00
x755740359192260608,x75273087,Kelly_J_Small,tonyveco,2020/1/13 6:09,"With cloud-free conditions today it is possible to look at #AustralianBushfire #NSWfires #victoriabushfires with their massive smoke. Here the view of @CopernicusEU #Sentinel3. @nswfire @vanbadham @takvera @Asher_Wolf
 @CleanAirLondon @AmanthaP @autoday @ESA_EO @EO_OPEN_SCIENCE https://t.co/p7fJlwptRR",2020/1/13 6:09
x75273087,x75273087,tonyveco,tonyveco,2020/1/13 6:09,"With cloud-free conditions today it is possible to look at #AustralianBushfire #NSWfires #victoriabushfires with their massive smoke. Here the view of @CopernicusEU #Sentinel3. @nswfire @vanbadham @takvera @Asher_Wolf
 @CleanAirLondon @AmanthaP @autoday @ESA_EO @EO_OPEN_SCIENCE https://t.co/p7fJlwptRR",2020/1/13 6:09
x978604706,x75273087,CopernicusEU,tonyveco,2020/1/13 6:09,"With cloud-free conditions today it is possible to look at #AustralianBushfire #NSWfires #victoriabushfires with their massive smoke. Here the view of @CopernicusEU #Sentinel3. @nswfire @vanbadham @takvera @Asher_Wolf
 @CleanAirLondon @AmanthaP @autoday @ESA_EO @EO_OPEN_SCIENCE https://t.co/p7fJlwptRR",2020/1/13 6:09
