source,destination,timestamp,time
84,144,1,2020-01-01 00
84,146,1,2020-01-01 00
85,98,1,2020-01-01 00
85,117,1,2020-01-01 00
85,128,1,2020-01-01 00
85,133,1,2020-01-01 00
86,108,1,2020-01-01 00
86,111,1,2020-01-01 00
88,98,1,2020-01-01 00
88,117,1,2020-01-01 00
89,138,1,2020-01-01 00
90,138,1,2020-01-01 00
91,109,1,2020-01-01 00
93,111,1,2020-01-01 00
94,118,1,2020-01-01 00
96,98,1,2020-01-01 00
96,108,1,2020-01-01 00
96,117,1,2020-01-01 00
98,101,1,2020-01-01 00
98,102,1,2020-01-01 00
98,103,1,2020-01-01 00
98,114,1,2020-01-01 00
98,120,1,2020-01-01 00
98,124,1,2020-01-01 00
98,128,1,2020-01-01 00
98,129,1,2020-01-01 00
98,130,1,2020-01-01 00
98,133,1,2020-01-01 00
98,136,1,2020-01-01 00
99,111,1,2020-01-01 00
99,119,1,2020-01-01 00
101,117,1,2020-01-01 00
102,117,1,2020-01-01 00
103,117,1,2020-01-01 00
104,149,1,2020-01-01 00
108,111,1,2020-01-01 00
108,112,1,2020-01-01 00
108,146,1,2020-01-01 00
109,140,1,2020-01-01 00
110,143,1,2020-01-01 00
111,119,1,2020-01-01 00
111,123,1,2020-01-01 00
112,117,1,2020-01-01 00
112,118,1,2020-01-01 00
112,138,1,2020-01-01 00
112,144,1,2020-01-01 00
113,128,1,2020-01-01 00
113,144,1,2020-01-01 00
114,117,1,2020-01-01 00
117,120,1,2020-01-01 00
117,124,1,2020-01-01 00
117,129,1,2020-01-01 00
117,130,1,2020-01-01 00
117,133,1,2020-01-01 00
117,136,1,2020-01-01 00
118,130,1,2020-01-01 00
119,140,1,2020-01-01 00
119,144,1,2020-01-01 00
126,144,1,2020-01-01 00
127,137,1,2020-01-01 00
127,139,1,2020-01-01 00
127,144,1,2020-01-01 00
130,133,1,2020-01-01 00
132,146,1,2020-01-01 00
133,138,1,2020-01-01 00
136,144,1,2020-01-01 00
137,144,1,2020-01-01 00
139,140,1,2020-01-01 00
140,144,1,2020-01-01 00
1,5,2,2020-01-01 01
1,111,2,2020-01-01 01
2,77,2,2020-01-01 01
2,140,2,2020-01-01 01
3,50,2,2020-01-01 01
3,63,2,2020-01-01 01
3,66,2,2020-01-01 01
3,136,2,2020-01-01 01
3,144,2,2020-01-01 01
6,59,2,2020-01-01 01
8,35,2,2020-01-01 01
8,61,2,2020-01-01 01
8,117,2,2020-01-01 01
10,50,2,2020-01-01 01
10,62,2,2020-01-01 01
10,77,2,2020-01-01 01
10,140,2,2020-01-01 01
12,57,2,2020-01-01 01
12,59,2,2020-01-01 01
12,62,2,2020-01-01 01
12,104,2,2020-01-01 01
12,106,2,2020-01-01 01
12,109,2,2020-01-01 01
13,39,2,2020-01-01 01
13,57,2,2020-01-01 01
13,68,2,2020-01-01 01
